time,open,Percent change in price (close/open),close,BTC Dominance Open,Percent change in dominance (close/open),BTC Dominance Close,Volume,RSI (relative strength index),HV (historical volatility)
2019-04-14T20:00:00-04:00,5131.28,-2.0722%,5024.95,54.61794867,0.5158%,54.89969015,29057.19158,64.33270545,46.67681912
2019-04-15T20:00:00-04:00,5024.95,2.9606%,5173.72,54.886674,0.2611%,55.02997679,24242.22949,68.32988807,49.4420792
2019-04-16T20:00:00-04:00,5173.72,0.5625%,5202.82,54.97993788,0.1744%,55.07581692,23307.53613,69.06029075,47.48265445
2019-04-17T20:00:00-04:00,5202.41,1.0770%,5258.44,55.02326369,-0.5613%,54.71440386,22619.239,70.46248874,47.2953542
2019-04-18T20:00:00-04:00,5258.44,0.0046%,5258.68,54.68513984,0.0692%,54.72297823,24611.23632,70.46870802,46.03640404
2019-04-19T20:00:00-04:00,5258.68,0.6285%,5291.73,54.70943972,0.4694%,54.96624505,19168.90827,71.36291951,42.60165498
2019-04-20T20:00:00-04:00,5292.91,-0.6947%,5256.14,54.9341488,1.0528%,55.51249181,25549.57094,68.94198636,24.36664013
2019-04-21T20:00:00-04:00,5257.41,1.8969%,5357.14,55.44456568,0.4841%,55.71296188,29563.85231,71.85954366,25.73677175
2019-04-22T20:00:00-04:00,5357.14,2.5418%,5493.31,55.69545679,1.9643%,56.78950908,41262.10392,75.23702722,27.51198629
2019-04-23T20:00:00-04:00,5490.91,-1.3825%,5415,56.74472576,0.9719%,57.2962116,48224.15241,70.03137409,29.7700704
2019-04-24T20:00:00-04:00,5415,-3.6030%,5219.9,57.27592936,0.1913%,57.38547374,49636.08995,59.06637403,35.64335748
2019-04-25T20:00:00-04:00,5220.47,1.7935%,5314.1,57.41275349,-0.3816%,57.19365019,48912.29451,62.14802108,33.21469333
2019-04-26T20:00:00-04:00,5315,-0.3633%,5295.69,57.23002243,0.0027%,57.23156854,15422.89694,61.17864983,33.32963091
2019-04-27T20:00:00-04:00,5295.69,0.2234%,5307.52,57.1946324,0.4166%,57.43288552,14371.43387,61.59320897,32.85855803
2019-04-28T20:00:00-04:00,5309.81,-1.3498%,5238.14,57.46733874,0.6699%,57.85229928,19918.13508,57.70152651,33.84480568
2019-04-29T20:00:00-04:00,5238.14,1.5782%,5320.81,57.56195348,-1.3643%,56.77661826,22238.06823,60.87379959,34.93002892
2019-04-30T20:00:00-04:00,5321.94,1.1511%,5383.2,56.78285625,0.8127%,57.24435032,17217.47322,63.12165819,35.11920216
2019-05-01T20:00:00-04:00,5383.2,2.0373%,5492.87,57.2142802,0.5817%,57.54708011,22795.78784,66.73903462,35.32091265
2019-05-02T20:00:00-04:00,5494.81,5.0571%,5772.69,57.53125973,0.5656%,57.85664052,46297.17285,73.8004498,43.03196193
2019-05-03T20:00:00-04:00,5770.62,1.0195%,5829.45,57.8713994,1.4030%,58.68331739,39682.40899,74.96165975,41.26431908
2019-05-04T20:00:00-04:00,5829.83,-0.9299%,5775.62,58.70194328,-0.1139%,58.63506842,23822.54378,71.71530882,32.67474801
2019-05-05T20:00:00-04:00,5773.18,-0.4398%,5747.79,58.64365722,-0.8304%,58.15668394,25256.59633,70.0268352,33.29145988
2019-05-06T20:00:00-04:00,5749.92,1.6769%,5846.34,58.11665254,1.4631%,58.9669511,39905.06442,72.49629372,32.81591293
2019-05-07T20:00:00-04:00,5846.34,2.4109%,5987.29,59.05244682,0.7257%,59.48098276,23074.05152,75.59348507,33.30587194
2019-05-08T20:00:00-04:00,5986.66,3.7169%,6209.18,59.55582327,2.0287%,60.7640252,27453.01144,79.50603687,31.68468074
2019-05-09T20:00:00-04:00,6209.95,2.6309%,6373.33,60.75188183,0.7180%,61.18806577,36623.61079,81.82700263,32.08461012
2019-05-10T20:00:00-04:00,6375.16,10.9967%,7076.22,61.16483187,0.7032%,61.59492407,74022.42439,88.06170995,58.60386597
2019-05-11T20:00:00-04:00,7076.24,-1.5394%,6967.31,61.56970238,-0.1392%,61.48402083,86948.97534,83.29339277,63.55728286
2019-05-12T20:00:00-04:00,6968.24,11.8031%,7790.71,61.44665202,2.6911%,63.10024302,85804.73533,88.40515592,80.47278274
2019-05-13T20:00:00-04:00,7795.62,1.9490%,7947.56,63.09669113,-2.9169%,61.25622931,76583.7226,89.0899612,79.75017088
2019-05-14T20:00:00-04:00,7945.26,2.8270%,8169.87,61.2234516,-3.4333%,59.12147746,37884.32721,89.99215896,75.649003
2019-05-15T20:00:00-04:00,8169.08,-3.7029%,7866.59,59.16216945,-0.9877%,58.57781572,69630.514,80.24330203,83.85840603
2019-05-16T20:00:00-04:00,7868.67,-6.5247%,7355.26,58.58968038,-0.0487%,58.56113468,88752.00816,67.05415003,101.2210911
2019-05-17T20:00:00-04:00,7355.28,-1.3301%,7257.45,58.50286717,0.5513%,58.82539714,37054.94478,64.85811593,103.330087
2019-05-18T20:00:00-04:00,7257.32,12.2795%,8148.48,58.85412245,0.8587%,59.35948321,65577.44206,73.40350105,117.2306742
2019-05-19T20:00:00-04:00,8147.94,-2.5748%,7938.15,59.37557311,0.2221%,59.50742767,65859.20856,69.13015829,121.1656766
2019-05-20T20:00:00-04:00,7937.16,-0.4068%,7904.87,59.49050542,-0.9184%,58.94415389,52301.75225,68.45111376,109.5654543
2019-05-21T20:00:00-04:00,7904.48,-3.4923%,7628.43,58.94838169,0.4287%,59.20108861,49136.99459,62.92223472,111.9237917
2019-05-22T20:00:00-04:00,7627.8,2.9328%,7851.51,59.24084145,0.5192%,59.54840196,49648.1847,65.3541698,92.59394352
2019-05-23T20:00:00-04:00,7849.95,1.4640%,7964.87,59.53458573,-0.3418%,59.33108372,46664.78533,66.55465815,92.22608388
2019-05-24T20:00:00-04:00,7964.52,0.7645%,8025.41,59.32639077,0.1973%,59.44346054,28414.32882,67.20814998,90.75975461
2019-05-25T20:00:00-04:00,8023,7.3717%,8614.43,59.45099273,1.0647%,60.08399218,49652.14457,72.78069793,96.21109202
2019-05-26T20:00:00-04:00,8612.54,1.6694%,8756.32,60.07051098,-1.3503%,59.25939628,51886.76879,73.93000296,83.04601644
2019-05-27T20:00:00-04:00,8752.52,-0.4214%,8715.64,59.23684166,-0.6109%,58.87496077,31470.55153,72.9785931,82.0075259
2019-05-28T20:00:00-04:00,8716.87,-0.8167%,8645.68,58.89185972,-0.9768%,58.31659385,33880.86592,71.27969895,54.3111137
2019-05-29T20:00:00-04:00,8646.5,-4.3597%,8269.54,58.32424606,0.5426%,58.64071095,70379.99852,62.81316053,59.06977959
2019-05-30T20:00:00-04:00,8267.1,3.4825%,8555,58.64882326,-1.1020%,58.00253858,44727.49162,66.10373896,61.12461934
2019-05-31T20:00:00-04:00,8555,-0.1278%,8544.07,58.02495831,0.8393%,58.51195331,31868.23416,65.86342066,55.07551485
2019-06-01T20:00:00-04:00,8545.1,2.1168%,8725.98,58.4582446,0.0553%,58.49059477,27835.13327,67.95169242,54.35120114
2019-06-02T20:00:00-04:00,8726,-6.9927%,8115.82,58.44448972,-0.2065%,58.32382167,45692.9651,55.65373064,72.04983808
2019-06-03T20:00:00-04:00,8115.66,-5.2815%,7687.03,58.34764941,-0.5294%,58.03875133,74143.94894,48.94925869,78.68175375
2019-06-04T20:00:00-04:00,7687.04,1.1638%,7776.5,57.95889872,0.0056%,57.96214113,48679.65646,50.29477755,63.98632516
2019-06-05T20:00:00-04:00,7778.08,0.1108%,7786.7,57.962598,-0.5806%,57.6260388,36624.11875,50.45509992,62.26530261
2019-06-06T20:00:00-04:00,7787.57,2.4778%,7980.53,57.64102474,0.3382%,57.83595437,33942.22566,53.52296339,65.6432821
2019-06-07T20:00:00-04:00,7978.94,-1.0693%,7893.62,57.82761819,0.4071%,58.0630499,22657.32963,51.96909003,65.65210081
2019-06-08T20:00:00-04:00,7895.28,-3.3837%,7628.13,58.08529102,0.4276%,58.33363811,31568.46516,47.4383595,63.87189583
2019-06-09T20:00:00-04:00,7627.57,4.6565%,7982.75,58.24817262,-0.3186%,58.06260947,36756.07847,53.29545143,66.90190764
2019-06-10T20:00:00-04:00,7981,-1.2041%,7884.9,58.03144686,-0.1951%,57.91825353,30334.99943,51.5872549,66.86147859
2019-06-11T20:00:00-04:00,7884.9,3.0785%,8127.64,57.88299779,-0.2646%,57.72985778,41597.08262,55.40574609,68.52108105
2019-06-12T20:00:00-04:00,8127.64,1.1184%,8218.54,57.72031449,0.5990%,58.0660519,30467.76434,56.78048183,54.77874239
2019-06-13T20:00:00-04:00,8216.44,5.2767%,8650,58.09556994,1.7538%,59.11442712,39835.24626,62.66391048,48.7667068
2019-06-14T20:00:00-04:00,8650.88,1.8243%,8808.7,59.13725156,0.0077%,59.14179619,31791.63604,64.57416709,48.90221117
2019-06-15T20:00:00-04:00,8810.77,1.6180%,8953.33,59.1313817,0.2527%,59.28083484,63289.25122,66.26800204,48.40635615
2019-06-16T20:00:00-04:00,8953,4.0317%,9313.96,59.25643049,0.5575%,59.58676806,47895.48537,70.10614457,50.31613851
2019-06-17T20:00:00-04:00,9312.13,-2.4761%,9081.55,59.65303552,0.0568%,59.68693488,51554.5694,64.9751236,53.61946233
2019-06-18T20:00:00-04:00,9081.97,1.9106%,9255.49,59.33410024,0.2990%,59.51150398,32147.7065,66.92614427,43.95089582
2019-06-19T20:00:00-04:00,9253.76,2.8460%,9517.12,59.49019913,1.2681%,60.24457055,34556.05398,69.66345522,41.21082647
2019-06-20T20:00:00-04:00,9518.06,6.7430%,10159.86,60.23310911,1.1163%,60.90548619,50484.41589,75.11283632,44.54655045
2019-06-21T20:00:00-04:00,10159.86,5.6068%,10729.5,60.90802787,-0.0519%,60.87642915,104169.448,78.75520171,47.59428061
2019-06-22T20:00:00-04:00,10729,1.6504%,10906.07,60.81374557,1.1345%,61.50367648,57445.32395,79.74477139,47.02007272
2019-06-23T20:00:00-04:00,10905.95,1.3813%,11056.59,61.49321696,0.3132%,61.6857996,43101.04529,80.57540172,45.23652575
2019-06-24T20:00:00-04:00,11056.59,6.9123%,11820.86,61.62578526,2.2601%,63.01861748,61276.68665,84.13330675,50.97045512
2019-06-25T20:00:00-04:00,11821.28,10.7647%,13093.8,63.01009643,3.5166%,65.22592667,155930.1474,88.05704417,64.82957592
2019-06-26T20:00:00-04:00,13098.38,-13.5008%,11329.99,65.22710853,-1.0758%,64.52539537,173894.8209,64.32153867,123.0732541
2019-06-27T20:00:00-04:00,11329.99,9.4496%,12400.63,64.4850172,2.0113%,65.78201711,95795.20396,69.66638162,125.4965621
2019-06-28T20:00:00-04:00,12407.06,-4.0616%,11903.13,65.72207611,-2.2560%,64.2393641,69642.07416,64.80799865,132.1417017
2019-06-29T20:00:00-04:00,11903.13,-8.8131%,10854.1,64.23887016,-0.6228%,63.83880726,84512.53044,55.94801923,148.2029748
2019-06-30T20:00:00-04:00,10854.1,-2.1114%,10624.93,63.89961461,-1.7514%,62.78049735,90962.26827,54.2046274,145.3582421
2019-07-01T20:00:00-04:00,10624.9,2.0513%,10842.85,61.70610208,3.6075%,63.9321384,109561.0387,55.62079236,142.3458449
2019-07-02T20:00:00-04:00,10844.98,10.0970%,11940,63.90785046,2.6282%,65.58749803,96815.90029,61.99324528,152.5148853
2019-07-03T20:00:00-04:00,11940,-6.6527%,11145.67,65.57057892,-1.0359%,64.89136608,66512.22189,55.75153557,158.8054352
2019-07-04T20:00:00-04:00,11145.67,-1.5696%,10970.73,64.86819772,-0.6046%,64.475978,63534.35058,54.45124665,153.2283384
2019-07-05T20:00:00-04:00,10982.41,2.4956%,11256.49,64.45967123,0.5793%,64.8331089,51469.49633,56.24636929,138.8214269
2019-07-06T20:00:00-04:00,11256.45,1.3307%,11406.24,64.80549877,-0.3865%,64.5550316,38884.7956,57.19835015,111.9240162
2019-07-07T20:00:00-04:00,11410,7.2621%,12238.6,64.53052116,2.1226%,65.90025845,52182.36722,62.13046464,106.5702728
2019-07-08T20:00:00-04:00,12238.6,2.4906%,12543.41,65.86659133,1.2581%,66.69524808,78442.13034,63.77659637,104.2702553
2019-07-09T20:00:00-04:00,12548.51,-3.5075%,12108.37,66.68363486,0.9903%,67.34401409,109246.045,59.78237235,88.79213655
2019-07-10T20:00:00-04:00,12108.11,-6.3199%,11342.89,67.34245913,0.3941%,67.60786807,87506.46106,53.44032458,97.74926123
2019-07-11T20:00:00-04:00,11342.88,3.6529%,11757.22,67.6202261,0.0573%,67.65894301,56321.85828,56.1517981,98.94984181
2019-07-12T20:00:00-04:00,11757.22,-3.4146%,11355.76,67.72140934,-0.2341%,67.56287054,54245.59455,52.93503407,83.59377195
2019-07-13T20:00:00-04:00,11355.78,-10.4053%,10174.18,67.61806525,0.5472%,67.98807452,72517.57924,44.80032167,97.22433521
2019-07-14T20:00:00-04:00,10174.18,6.5316%,10838.72,68.24044108,1.3146%,69.13752182,81922.42633,49.50064285,105.4545077
2019-07-15T20:00:00-04:00,10833.78,-12.8689%,9439.59,69.07309289,-0.5486%,68.69415283,97219.44341,41.49017503,129.3293887
2019-07-16T20:00:00-04:00,9430.17,2.5212%,9667.92,68.5891329,-0.8894%,67.9791333,84942.67272,43.10820394,130.3993187
2019-07-17T20:00:00-04:00,9668.86,9.9112%,10627.16,67.57971411,0.9805%,68.24236385,80283.31025,49.43464577,136.8576654
2019-07-18T20:00:00-04:00,10628.64,-1.1700%,10504.29,68.2807174,-0.1557%,68.17440407,56546.93213,48.687796,134.6743698
2019-07-19T20:00:00-04:00,10505.78,2.2316%,10740.23,68.15350046,-0.5947%,67.74818381,47331.89985,50.24233706,135.9654421
2019-07-20T20:00:00-04:00,10740.27,-1.4042%,10589.45,67.77480292,-0.2464%,67.60777892,38834.28794,49.21617435,131.7390805
2019-07-21T20:00:00-04:00,10590.15,-2.3592%,10340.31,67.57589467,0.1630%,67.6860429,40467.95484,47.49019823,129.0844396
2019-07-22T20:00:00-04:00,10343.08,-4.6231%,9864.91,67.71823928,-0.5617%,67.33786528,47624.37071,44.29785192,130.0373063
2019-07-23T20:00:00-04:00,9864.78,-1.0289%,9763.28,67.39722976,-1.0063%,66.71904496,43475.38038,43.62275437,114.9068375
2019-07-24T20:00:00-04:00,9763.4,1.1929%,9879.87,66.68506327,0.5400%,67.04515584,37873.35473,44.6646179,107.4368916
2019-07-25T20:00:00-04:00,9882.15,-0.5884%,9824,66.88374038,-0.4626%,66.57434464,27167.46322,44.24267815,69.548195
2019-07-26T20:00:00-04:00,9824,-3.5371%,9476.52,66.56270211,0.3858%,66.81951973,43809.7783,41.60987119,71.73104998
2019-07-27T20:00:00-04:00,9478.92,0.6606%,9541.54,66.83866486,-0.1416%,66.74400179,29401.02294,42.30176898,38.55830212
2019-07-28T20:00:00-04:00,9541.54,-0.3553%,9507.64,66.60891152,-0.0373%,66.58405258,29021.93741,42.02218099,38.76994547
2019-07-29T20:00:00-04:00,9509.07,0.6850%,9574.21,66.60442873,-0.0532%,66.56898459,32536.36883,42.8213841,34.9491158
2019-07-30T20:00:00-04:00,9575,5.2797%,10080.53,66.54402365,0.7964%,67.07399216,39515.35456,48.62235509,50.11301771
2019-07-31T20:00:00-04:00,10080.53,2.9211%,10374.99,67.15373432,1.0796%,67.87870153,41727.63703,51.69189289,51.91467783
2019-08-01T20:00:00-04:00,10375,1.4337%,10523.75,67.85418324,0.6663%,68.30632422,42990.44422,53.21269045,42.52547641
2019-08-02T20:00:00-04:00,10523.75,2.7852%,10816.86,68.30197127,0.4630%,68.61820896,33802.31882,56.14240528,42.59084654
2019-08-03T20:00:00-04:00,10816.86,1.0388%,10929.23,68.65370616,0.4303%,68.94915476,39924.74514,57.24765805,42.57857647
2019-08-04T20:00:00-04:00,10929.99,8.2233%,11828.8,68.93596072,1.5258%,69.98779305,65153.67371,64.87830757,56.54931363
2019-08-05T20:00:00-04:00,11830,-2.9443%,11481.69,69.96599584,0.0997%,70.03574712,76705.38988,60.39864178,54.42819068
2019-08-06T20:00:00-04:00,11481.69,4.2968%,11975.03,70.02651161,1.1773%,70.85092396,69173.39035,64.18384302,55.24863325
2019-08-07T20:00:00-04:00,11975.04,0.2065%,11999.77,70.91315938,-0.1514%,70.80579635,51207.25717,64.36777611,54.35935514
2019-08-08T20:00:00-04:00,11994.17,-0.9520%,11879.99,71.14060381,1.3672%,72.11322182,39427.15259,62.68919295,57.02979535
2019-08-09T20:00:00-04:00,11879.98,-4.8036%,11309.31,72.11506555,-1.4043%,71.10234786,42633.08705,55.29105748,66.21409086
2019-08-10T20:00:00-04:00,11309.24,2.1286%,11549.97,71.07432846,-0.3967%,70.79238172,26772.90691,57.56534923,65.62259278
2019-08-11T20:00:00-04:00,11539.08,-1.2393%,11396.08,70.79929634,0.1477%,70.90388174,17568.22708,55.61707063,66.98254272
2019-08-12T20:00:00-04:00,11398.35,-4.4361%,10892.71,70.89356809,-1.0620%,70.14064663,33234.72968,49.69267681,72.01250276
2019-08-13T20:00:00-04:00,10893.36,-7.7386%,10050.37,70.14040924,0.5054%,70.49492842,54451.8475,41.68973401,85.18483251
2019-08-14T20:00:00-04:00,10055.16,2.3746%,10293.93,70.45467419,0.4456%,70.7685906,38174.45112,44.47428213,68.8017029
2019-08-15T20:00:00-04:00,10296.77,0.3377%,10331.54,70.74798673,0.6196%,71.18636666,51758.14292,44.91175457,68.652282
2019-08-16T20:00:00-04:00,10331.15,-1.1144%,10216.02,71.15639322,-0.4016%,70.87063481,29000.5812,43.7710274,59.98935351
2019-08-17T20:00:00-04:00,10216.05,0.8881%,10306.78,70.91199779,-0.9633%,70.22892422,24085.39517,44.95398623,60.84969377
2019-08-18T20:00:00-04:00,10306.17,5.9127%,10915.54,70.25144147,1.0242%,70.97092409,37243.31922,52.21558223,73.82764654
2019-08-19T20:00:00-04:00,10914.73,-1.4130%,10760.51,70.95966406,0.2771%,71.15628181,32298.28876,50.39241825,69.3683353
2019-08-20T20:00:00-04:00,10760.51,-5.7427%,10142.57,71.18391667,-0.5885%,70.76499088,47355.71928,43.82410435,73.4902866
2019-08-21T20:00:00-04:00,10140.82,-0.4037%,10099.88,70.78020613,-0.5104%,70.41893917,34059.64274,43.40320809,73.6599284
2019-08-22T20:00:00-04:00,10099.9,2.8679%,10389.55,70.43125172,0.2146%,70.58241815,27550.33617,47.11478396,73.64267191
2019-08-23T20:00:00-04:00,10388.16,-2.4433%,10134.35,70.5810484,-0.3055%,70.36542748,27692.45684,44.35502477,57.99776142
2019-08-24T20:00:00-04:00,10134.61,0.0797%,10142.69,70.36996775,0.3978%,70.64986482,26271.6574,44.46950108,56.11810583
2019-08-25T20:00:00-04:00,10142.69,2.2633%,10372.25,70.67058273,0.4198%,70.96725304,41687.5116,47.66124408,57.74639575
2019-08-26T20:00:00-04:00,10373.6,-1.8176%,10185.05,70.99488477,-0.3716%,70.73107541,28402.77538,45.37106409,58.39350543
2019-08-27T20:00:00-04:00,10185.69,-4.5622%,9721,70.71275712,0.5969%,71.13484684,42110.55538,40.2127095,63.64226675
2019-08-28T20:00:00-04:00,9721,-2.2895%,9498.44,70.89957354,0.0296%,70.92057507,35532.69491,37.98231988,49.63162721
2019-08-29T20:00:00-04:00,9499.01,0.9004%,9584.54,70.91894088,0.2292%,71.08147999,26834.3181,39.38304286,51.33502578
2019-08-30T20:00:00-04:00,9582.76,0.0492%,9587.47,71.07217121,-0.0744%,71.0192675,17130.29007,39.43317551,41.61604081
2019-08-31T20:00:00-04:00,9588.74,1.4208%,9724.98,71.03338796,0.4216%,71.33282952,19545.40484,41.86329871,43.16050618
2019-09-01T20:00:00-04:00,9723.59,6.3393%,10340,71.32790472,0.9084%,71.97583267,44740.24809,51.2789391,54.72579821
2019-09-02T20:00:00-04:00,10340,2.6623%,10615.28,71.96527288,0.5086%,72.3312752,47998.37678,54.80703527,54.25412578
2019-09-03T20:00:00-04:00,10611.85,-0.4225%,10567.02,72.36480357,0.3742%,72.63555978,43943.88903,54.06783855,54.47927933
